,Country/region,Site,Site id,Depth (m),svo (kN/m2),s¢vo (kN/m2),s¢p (kN/m2),OCR ,LL (%) ,PL (%),PI (%) ,w (%) ,LI ,qc (kN/m2),qt (kN/m2),u0 (kN/m2),u2 (kN/m2),Bq ,St,"su,CIUC/s¢v0 ","su,CIUC (kN/m2)","su,CK0UC/s¢v0 ","su,CK0UC (kN/m2)","su,DSS/s¢v0 ","su,DSS (kN/m2)","su,CIUE/s¢v0 ","su,CIUE (kN/m2)","su,CK0UE/s¢v0 ","su,CK0UE (kN/m2)","su,UU/s¢v0 ","su,UU (kN/m2)","remolded su,UU (kN/m2)","su,UC/s¢v0 ","su,UC (kN/m2)","remolded su,UC (kN/m2)","su,VST/s¢v0 ","su,VST (kN/m2)","remolded su,VST (kN/m2)",Remolded su (kN/m2),su(mob)/s¢v0 ,su(mob) (kN/m2),su_mean,type
402,Norway,Boring I,137.0,8.63322,,,,,41.4141,23.9241,17.49,34.827,0.623379074,,,,,,5.73591355,,,,,,,,,,,,,,,,,,26.5134,4.62235,4.62235,,26.80504656,15.64078664,CL
403,Norway,Boring I,137.0,10.6576,,,,,38.4612,23.2427,15.2185,35.7355,0.82089562,,,,,,5.715370233,,,,,,,,,,,,,,,,,,37.5673,6.57303,6.57303,,38.71194981,22.356327452500004,CL
404,Norway,Boring I,137.0,12.764,,,,,34.83314918,22.72396424,12.10918494,32.1013,0.774398591,,,,,,2.85510424,,,,,,,,,,,,,,,,,,54.0397,18.9274,18.9274,,57.18161499,37.2690287475,CL
405,Norway,Boring I,137.0,14.8158,,,,,36.6441,22.3341,14.31,32.5555,0.714283718,,,,,,2.610172843,,,,,,,,,,,,,,,,,,48.8379,18.7106,18.7106,,50.71480193,34.243475482499996,CL
406,Norway,Boring I,137.0,16.293,,,,,30.5113,21.8798,8.6315,30.057,0.947367202,,,,,,2.764869078,,,,,,,,,,,,,,,,,,47.5375,17.1934,17.1934,,51.84104759,33.4413368975,CL
407,Norway,Boring I,137.0,18.3174,,,,,30.2841,21.6527,8.6314,30.7384,1.052633408,,,,,,2.48915855,,,,,,,,,,,,,,,,,,49.2714,19.7944,19.7944,,53.73196373,35.648040932499995,CL
408,Norway,Boring I,137.0,20.3964,,,,,29.3755,21.1984,8.1771,29.3755,1.0,,,,,,2.784802773,,,,,,,,,,,,,,,,,,55.1235,19.7944,19.7944,,60.3534096,38.7664274,CL
409,Norway,Boring I,137.0,22.284,,,,,22.3341,17.337,4.9971,28.2398,2.181825459,,,,,,26.34547754,,,,,,,,,,,,,,,,,,30.4148,1.15446,1.15446,,34.24870854,16.743107135000002,CL
410,Norway,Boring I,137.0,24.199,,,,,19.10447625,12.70899134,6.395484915,28.467,2.46392711,,,,,,20.19283379,,,,,,,,,,,,,,,,,,40.8184,2.02143,2.02143,,45.39737339,22.5646583475,CL
411,Norway,Boring I,137.0,28.6307,,,,,26.1955,19.6084,6.5871,28.2398,1.310349015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
412,Norway,Boring I,137.0,32.7615,,,,,19.8355,13.4756,6.3599,28.0127,2.285743487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL
413,Norway,,137.2,4.53795,,,,,,,,,,,,,,,4.829266484,,,,,,,,,,,,,,,,,,41.6842,8.63158,8.63158,,,19.64912,
414,Norway,,137.2,6.51815,,,,,,,,,,,,,,,5.074073618,,,,,,,,,,,,,,,,,,28.8421,5.68421,5.68421,,,13.403506666666665,
415,Norway,,137.2,9.15842,,,,,,,,,,,,,,,4.826077888,,,,,,,,,,,,,,,,,,23.3684,4.84211,4.84211,,,11.017539999999999,
416,Norway,Boring II,137.2,11.2486,,,,,38.6813,24.8352,13.8461,34.0659,0.666664259,,,,,,3.685715527,,,,,,,,,,,,,,,,,,27.1579,7.36842,7.36842,,28.31308421,17.5519560525,CL
417,Norway,Boring II,137.2,13.1738,,,,,37.3626,25.7143,11.6483,29.8901,0.35849008,,,,,,3.142846372,,,,,,,,,,,,,,,,,,41.6842,13.2632,13.2632,,44.28299718,28.123399295,ML
418,Norway,Boring II,137.2,15.154,,,,,24.6154,19.1209,5.4945,28.1319,1.64000364,,,,,,53.33331222,,,,,,,,,,,,,,,,,,33.6842,0.631579,0.631579,,37.76298413,18.1775855325,CL
